fname,matrix_size,num_nodes,avg_connect,num_components,processor,total,transfer,solve
rand_data/rand_size-010_density-003.csv,59,32,3,91,cpu,0.008861899999999423,0.00022989999999367683,0.008632000000005746
rand_data/rand_size-011_density-003.csv,81,45,3,131,cuda,0.004099199999998859,0.0007433999999975072,0.003355800000001352
rand_data/rand_size-011_density-003.csv,81,45,3,131,cpu,0.012503199999997605,0.0002552999999991812,0.012247899999998424
rand_data/rand_size-012_density-003.csv,117,64,3,189,cuda,0.004556800000003136,0.0007683000000042739,0.0037884999999988622
rand_data/rand_size-012_density-003.csv,117,64,3,189,cpu,0.018143399999999588,0.0003017000000014036,0.017841699999998184
rand_data/rand_size-013_density-003.csv,151,90,3,266,cuda,0.005648400000005438,0.0008513000000007764,0.0047971000000046615
rand_data/rand_size-013_density-003.csv,151,90,3,266,cpu,0.028989400000000387,0.00034279999999853317,0.028646600000001854
rand_data/rand_size-014_density-003.csv,226,128,3,380,cuda,0.00810520000000281,0.0008192000000022404,0.00728600000000057
rand_data/rand_size-014_density-003.csv,226,128,3,380,cpu,0.0385548,0.0006114000000039255,0.037943399999996075
rand_data/rand_size-015_density-003.csv,301,181,3,539,cuda,0.009855999999999199,0.0008830999999958067,0.008972900000003392
rand_data/rand_size-015_density-003.csv,301,181,3,539,cpu,0.049332599999999616,0.0005060000000014497,0.048826599999998166
rand_data/rand_size-016_density-003.csv,446,256,3,765,cuda,0.017510799999996607,0.001077399999999784,0.016433399999996823
rand_data/rand_size-016_density-003.csv,446,256,3,765,cpu,0.07513190000000236,0.000678800000002866,0.0744530999999995
rand_data/rand_size-017_density-003.csv,619,362,3,1082,cuda,0.026851000000000624,0.0012077000000019211,0.025643299999998703
rand_data/rand_size-017_density-003.csv,619,362,3,1082,cpu,0.12965640000000178,0.0009732000000042262,0.12868319999999756
rand_data/rand_size-018_density-003.csv,892,512,3,1533,cuda,0.04562119999999936,0.0013669000000007259,0.044254299999998636
rand_data/rand_size-018_density-003.csv,892,512,3,1533,cpu,0.1857114000000024,0.0011909999999986098,0.1845204000000038
rand_data/rand_size-019_density-003.csv,1271,724,3,2168,cuda,0.09025730000000465,0.0015891000000038957,0.08866820000000075
rand_data/rand_size-019_density-003.csv,1271,724,3,2168,cpu,0.2715101000000004,0.0014822999999992703,0.27002780000000115
rand_data/rand_size-020_density-003.csv,1766,1024,3,3068,cuda,0.1738380000000035,0.0020617000000058283,0.17177629999999766
rand_data/rand_size-020_density-003.csv,1766,1024,3,3068,cpu,0.42426150000000007,0.001855200000001389,0.4224062999999987
rand_data/rand_size-021_density-003.csv,2585,1448,3,4341,cuda,0.38933560000000966,0.0022793000000120855,0.3870562999999976
rand_data/rand_size-021_density-003.csv,2585,1448,3,4341,cpu,0.7111507000000046,0.0025823000000002594,0.7085684000000043
rand_data/rand_size-022_density-003.csv,3600,2048,3,6141,cuda,0.8834033000000119,0.003065100000000598,0.8803382000000113
rand_data/rand_size-022_density-003.csv,3600,2048,3,6141,cpu,1.1565982999999989,0.003420199999993656,1.1531781000000052
rand_data/rand_size-023_density-003.csv,5031,2896,3,8684,cuda,2.048458300000007,0.0039482000000106154,2.0445100999999966
rand_data/rand_size-023_density-003.csv,5031,2896,3,8684,cpu,1.9406278999999955,0.005531500000003575,1.935096399999992
